"Timestamp","Quel âge as tu ?","Sautes-tu régulièrement des repas (petit-déjeuner, déjeuner ou dîner) ?","Sur une semaine type, combien de portions de fruits et légumes consommes-tu par jour ?  ","Cuisines-tu tes propres repas ou as-tu recours majoritairement à des plats préparés/fast-food ?  ","Quelle quantité d'eau bois-tu environ par jour ? ","Combien de fois par semaine pratiques-tu une activité physique de plus de 30 minutes ?  ","En moyenne, combien d'heures dors-tu par nuit en semaine ?  ","Te sens-tu reposé(e) au réveil ?   ","Consommes-tu des snacks (biscuits, chips, sodas) entre les repas principaux ? ","Est ce que tu te sens en bonne santé ?"
"2026/03/26 12:20:51 PM GMT+2","24 et plus","Non","+ de 2 par jour","Non j'adore Ubert Eat","+ de 1,5L","+ de 3 fois","+ de 7h","Non","Non","Oui"
"2026/03/26 12:23:18 PM GMT+2","24 et plus","Oui","- de 2 par jour","Non j'adore Ubert Eat","- de 1,5L","- de 3 fois","+ de 7h","Oui","Oui","Non"
"2026/03/26 12:23:53 PM GMT+2","20-23","Oui","+ de 2 par jour","Oui je cuisines souvent","- de 1,5L","- de 3 fois","- de 7h","Non","Oui","Oui"
"2026/03/26 12:23:56 PM GMT+2","20-23","Non","- de 2 par jour","Oui je cuisines souvent","- de 1,5L","- de 3 fois","- de 7h","Non","Oui","Non"
"2026/03/26 12:25:21 PM GMT+2","20-23","Oui","+ de 2 par jour","Non j'adore Ubert Eat","- de 1,5L","- de 3 fois","- de 7h","Non","Oui","Oui"
"2026/03/26 12:25:21 PM GMT+2","20-23","Non","+ de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","+ de 7h","Oui","Non","Oui"
"2026/03/26 12:25:56 PM GMT+2","20-23","Oui","+ de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","- de 7h","Non","Non","Oui"
"2026/03/26 12:26:22 PM GMT+2","24 et plus","Oui","- de 2 par jour","Non j'adore Ubert Eat","- de 1,5L","- de 3 fois","+ de 7h","Oui","Oui","Oui"
"2026/03/26 12:27:57 PM GMT+2","24 et plus","Oui","- de 2 par jour","Oui je cuisines souvent","+ de 1,5L","- de 3 fois","- de 7h","Non","Non","Non"
"2026/03/26 12:28:07 PM GMT+2","20-23","Oui","- de 2 par jour","Oui je cuisines souvent","- de 1,5L","- de 3 fois","- de 7h","Non","Oui","Oui"
"2026/03/26 12:28:13 PM GMT+2","20-23","Non","- de 2 par jour","Non j'adore Ubert Eat","- de 1,5L","- de 3 fois","- de 7h","Non","Oui","Non"
"2026/03/26 12:28:28 PM GMT+2","20-23","Oui","- de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","- de 7h","Non","Oui","Oui"
"2026/03/26 12:28:32 PM GMT+2","20-23","Non","+ de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","+ de 7h","Oui","Non","Oui"
"2026/03/26 12:30:23 PM GMT+2","24 et plus","Non","+ de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","+ de 7h","Oui","Non","Oui"
"2026/03/26 12:30:57 PM GMT+2","20-23","Non","+ de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","+ de 7h","Oui","Oui","Oui"
"2026/03/26 12:31:01 PM GMT+2","24 et plus","Non","+ de 2 par jour","Oui je cuisines souvent","- de 1,5L","+ de 3 fois","+ de 7h","Non","Non","Oui"
"2026/03/26 12:32:05 PM GMT+2","20-23","Non","+ de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","+ de 7h","Oui","Oui","Oui"
"2026/03/26 12:34:07 PM GMT+2","20-23","Oui","+ de 2 par jour","Oui je cuisines souvent","+ de 1,5L","+ de 3 fois","- de 7h","Oui","Non","Oui"
"2026/03/26 12:40:44 PM GMT+2","20-23","Oui","+ de 2 par jour","Oui je cuisines souvent","- de 1,5L","+ de 3 fois","- de 7h","Non","Non","Oui"
